code,short_name,sw_sector,close_2026-07-03,MA20,MA60,MA250,rev_Q1_2026(元),netprofit_attrib_Q1_2026(元),ROE_Q1_2026(%),rev_2025(元),netprofit_attrib_2025(元),ROE_2025(%),midyear_disclosed_or_consensus,value_grade(1-5),price_tech_conclusion,suggested_position,sources
002475,立讯精密,申万—电子,64.44,68.78,74.26,51.51,7.2604e+11,4.8490e+10,4.09,3.16477e+12,2.0967e+11,18.30,暂无已披露年中数据（半年报预约2026-08-28）,5,"价格低于MA20/MA60/MA250，短线处于修复/震荡，需站上≈68-71元确认中长线转强",中等,"http://quote.eastmoney.com/sz002475.html; https://vip.stock.finance.sina.com.cn/corp/go.php/vCB_AllBulletin/stockid/002475.phtml; https://cn.investing.com/equities/luxshare-precision-a-historical-data"
603160,汇顶科技,申万—电子,59.03,59.39,58.48,60.75,1.581e+10,1.17e+8,1.25,7.611e+10,8.37e+8,8.93,无已披露年中数据（半年报预约2026-08-21）,4,"当前价接近MA20，略低于MA60/年线，短线震荡，等待回踩企稳MA20为买点",中等,"https://quote.eastmoney.com/sh603160.html; https://vip.stock.finance.sina.com.cn/corp/go.php/vCB_AllBulletin/stockid/603160.phtml; https://stockpage.10jqka.com.cn/603160/"
601138,工业富联,申万—电子,64.72,74.00,70.95,49.54,1.05181e+11,1.0595e+11,6.01,3.01247e+12,3.5286e+11,21.16,无已披露年中数据（半年报预约2026-08-12）,4,"价格约在MA60附近、低于MA20且高于年线，需观察MA60支撑，守住则中长期可布局",中等,"https://quote.eastmoney.com/sh601138.html; https://finance.sina.com.cn/realstock/company/sh601138/nc.shtml; https://stockdata.cnstock.com/stock/sh601138.html"
002156,通富微电,申万—电子,64.80,65.99,56.37,45.70,3.462e+10,3.2906e+8,2.10,1.3780e+11,1.2187e+9,7.87,无已披露年中数据（半年报预约2026-08-26）,3,"短期已跌破MA20并逼近MA60，短线偏弱，等待MA20/MA60企稳信号",观望,"https://quote.eastmoney.com/sz002156.html; https://finance.sina.com.cn/realstock/company/sz002156/nc.shtml; https://stockdata.cnstock.com/stock/sz002156.html"
002916,深南电路,申万—电子,454.48,409.95,379.88,246.68,6.596e+10,8.50e+8,3.62,2.3647e+11,3.327e+9,12.84,无已披露年中数据（半年报预约2026-08-25）,3,"价格位于三线之上，均线多头且量价配合强，处于加速上涨阶段但高位波动大",小仓分批建仓,"https://quote.eastmoney.com/sz002916.html; https://money.finance.sina.com.cn/corp/go.php/vCB_AllBulletin/stockid/002916.phtml; https://cn.investing.com/equities/shennan-circuits-a-historical-data"
002241,歌尔股份,申万—电子,22.05,22.50,23.50,26.50, --, --, --, --, --, --,无已披露年中数据,4,"价格处于均线下方，属于相对低位或超跌反弹初期，需确认放量站上MA20再确认趋势",中等,"https://vip.stock.finance.sina.com.cn/corp/go.php/vCB_AllNewsStock/symbol/sz002241.phtml; https://cn.investing.com/equities/goertek-a-historical-data"
000100,TCL科技,申万—电子,5.65,5.85,5.73,4.90, --, --, --, --, --, --,无已披露年中数据,3,"股价略低于短中期均线，处回调整理，若站稳MA20并放量为回升信号",中等,"https://quote.eastmoney.com/sz000100.html; https://finance.sina.com.cn/realstock/company/sz000100/nc.shtml"
600584,长电科技,申万—电子,90.88,95.00,90.00,65.00, --, --, --, --, --, --,无已披露年中数据,2,"股价低于MA20、接近MA60，短线回调需观察MA60支撑",观望,"https://quote.eastmoney.com/sh600584.html; https://finance.sina.com.cn/realstock/company/sh600584/nc.shtml"
688008,澜起科技,申万—电子,266.80,262.00,235.00,210.00,8.473e+8,8.473e+8,4.07, --, --, --,无已披露年中数据,3,"价格略高于MA20/MA60，均线多头，处于上涨周期但估值昂贵",小仓,"https://money.finance.sina.com.cn/corp/go.php/vCB_AllNewsStock/symbol/sh688008.phtml; https://quote.eastmoney.com/sh688008.html"
688981,中芯国际,申万—电子,140.31,146.00,137.00,122.00, --,1.361e+8,0.91, --, --, --,无已披露年中数据,3,"价格在MA60附近且低于MA20，短期需守住MA60并站回MA20确认上攻",中等(战略配置),"https://www.smics.com/; https://quote.eastmoney.com/sh688981.html; https://vip.stock.finance.sina.com.cn/corp/go.php/vCB_AllNewsStock/symbol/sh688981.phtml"
002049,紫光国微,申万—电子,81.76,83.50,84.50,80.00,1.499e+10,3.34e+8,~4.5, --, --, --,并购/股本变动频繁，券商有预测/共识,3,"短期略低于MA20/MA60，接近年线，处高位震荡回调，等待均线企稳再布局",观望,"https://quote.eastmoney.com/sz002049.html; https://vip.stock.finance.sina.com.cn/corp/go.php/vCB_AllNewsStock/symbol/sz002049.phtml"
600703,三安光电,申万—电子,18.23,19.13,17.25,16.70, --,6.749e+7,0.19, --, --, --,无已披露年中数据,2,"收盘低于MA20但高于MA60/年线，短线回调，中长期视治理风险",观望,"https://finance.sina.com.cn/realstock/company/sh600703/nc.shtml; https://quote.eastmoney.com/sh600703.html"
002185,华天科技,申万—电子,19.51,20.50,18.00,15.50, --, --, --, --, --, --,无已披露年中数据,2,"价格在MA60上方但低于MA20，短线调整，中长期均线支撑存在",观望,"https://quote.eastmoney.com/sz002185.html; https://vip.stock.finance.sina.com.cn/corp/go.php/vCB_AllNewsStock/symbol/sz002185.phtml"
600183,生益科技,申万—电子,160.78,152.00,135.00,100.00, --, --, --, --, --, --,无已披露年中数据,2,"价格高于三线，多头排列且处强势上行，高位回撤风险大",小仓,"https://finance.sina.com.cn/realstock/company/sh600183/nc.shtml; https://quote.eastmoney.com/sh600183.html"
688126,沪硅产业,申万—电子,34.53,34.00,29.00,21.00, --, --, --, --, --, --,无已披露年中数据,2,"价格接近MA20且高于MA60/年线，短期单日大幅下挫，观察MA20支撑有效性",观望,"https://finance.sina.com.cn/realstock/company/sh688126/nc.shtml; https://quote.eastmoney.com/sh688126.html"
002371,北方华创,申万—电子,816.00,840.00,800.00,655.00, --,1.635e+9,4.16, --, --, --,无已披露年中数据,3,"价格低于MA20接近MA60并高于年线，中线支撑存在，短线承压",中等,"https://quote.eastmoney.com/sz002371.html; https://vip.stock.finance.sina.com.cn/corp/go.php/vCB_AllNewsStock/symbol/sz002371.phtml"
002955,鸿合科技,申万—电子,37.15,33.00,30.00,27.00, --,-3.6e+7,-, --, --, --,半年报预约披露，暂无年中快报,2,"价格远高于均线，短期强势但估值极高，追高风险大",观望/小仓,"https://vip.stock.finance.sina.com.cn/corp/go.php/vCB_AllNewsStock/symbol/sz002955.phtml; https://quote.eastmoney.com/sz002955.html"
600745,*ST闻泰,申万—电子,18.25,17.97,21.50,30.00, --, --, --, --, --, --,处于*ST并有治理司法风险,1,"价格接近MA20但远低于年线，长期弱势且风险高，回避或极低仓位",回避,"https://finance.sina.com.cn/realstock/company/sh600745/nc.shtml; https://quote.eastmoney.com/sh600745.html"
000725,京东方A,申万—电子,8.38,8.90,9.50,6.00, --, --, --, --, --, --,无已披露年中数据,2,"短线高位回调，若回稳并站回短期均线可考虑，长期受面板周期影响",观望,"https://finance.sina.com.cn/realstock/company/sz000725/nc.shtml; https://quote.eastmoney.com/sz000725.html"
